;ID;ROADTYPE;DEFAULT_LANES;DEFAULT_SPEED;CAPACITY;CONNECTABLE;MAIN_NETWORK
0;1;motorway;2;130;2000;False;True
1;2;trunk;2;110;2000;False;True
2;3;primary;1;80;1500;True;True
3;4;secondary;1;80;800;True;True
4;5;tertiary;1;80;600;True;True
5;6;unclassified;1;30;600;True;False
6;7;residential;1;30;600;True;False
7;8;motorway_link;1;90;1500;False;True
8;9;trunk_link;1;70;1500;False;True
9;10;primary_link;1;50;1500;True;True
10;11;secondary_link;1;50;800;True;True
11;12;tertiary_link;1;50;600;True;True
12;13;living_street;1;20;300;True;False
13;14;road;1;50;300;True;True
14;15;service;1;30;300;True;False
